[31.01.2013 2:48:2] [error] [client 127.0.0.1] Can't read file: ./host3/odczyt.html
[31.01.2013 2:48:2] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 2:48:17] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 2:48:18] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 2:56:34] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 2:56:34] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 2:58:15] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 2:58:15] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 3:2:28] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 3:2:28] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 3:3:0] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 3:3:0] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 3:3:51] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 3:3:51] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 3:4:42] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 3:4:42] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
[31.01.2013 3:5:4] [error] [client 127.0.0.1] File no exist: ./host3/404
[31.01.2013 3:5:4] [error] [client 127.0.0.1] File no exist: ./host3/favicon.ico
