
[host1.local] [27.01.2013 4:23:28] [status (error/ info)] [192.168.0.13] [GET] [/aaaa] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 4:23:40] [status (error/ info)] [192.168.0.13] [GET] [/strona] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 4:23:49] [status (error/ info)] [192.168.0.13] [GET] [/strofasf] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 5:37:29] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 5:37:35] [status (error/ info)] [192.168.0.13] [GET] [/aaaa] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 5:42:56] [status (error/ info)] [192.168.0.13] [GET] [/aaaa] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 5:43:0] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 6:10:4] [status (error/ info)] [192.168.0.13] [GET] [/strofasf] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 6:11:16] [status (error/ info)] [192.168.0.13] [GET] [/strofasf] [200] [Mozilla/5.0 (Windows NT 1.6; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 6:12:8] [status (error/ info)] [192.168.0.13] [GET] [/strofasf] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 6:12:16] [status (error/ info)] [192.168.0.13] [GET] [/saaaa] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [27.01.2013 6:14:36] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
